make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption,co2,cluster
ACURA,ILX,COMPACT,2.0,4,AS5,Z,33,196,2
ACURA,ILX,COMPACT,2.4,4,M6,Z,29,221,2
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,48,136,2
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,25,255,1
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,27,244,1
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,28,230,1
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,28,232,1
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,25,255,1
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,24,267,1
ACURA,TSX,COMPACT,2.4,4,AS5,Z,31,212,2
ACURA,TSX,COMPACT,2.4,4,M6,Z,29,225,2
ACURA,TSX,COMPACT,3.5,6,AS5,Z,27,239,1
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,34,193,2
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,359,0
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,359,0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,19,338,0
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18,354,0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,19,338,0
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18,354,0
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,359,0
AUDI,A4,COMPACT,2.0,4,AV8,Z,32,202,2
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,28,230,2
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,30,214,2
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,28,230,2
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,28,230,2
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,30,214,2
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,28,235,2
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,26,251,1
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,35,217,2
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,25,262,1
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,35,217,2
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,25,258,1
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,25,265,1
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,34,224,2
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,25,258,1
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,23,288,0
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18,363,0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,34,224,2
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,27,242,2
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,27,239,2
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,25,258,1
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,31,244,1
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,31,212,2
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,21,304,1
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,26,290,1
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,19,336,0
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,16,407,0
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,19,347,0
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,16,409,0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,19,336,0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,16,407,0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,19,347,0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,16,409,0
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,21,306,0
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,21,308,0
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,23,293,0
AUDI,S4,COMPACT,3.0,6,A7,Z,25,262,1
AUDI,S4,COMPACT,3.0,6,M6,Z,23,285,1
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,25,262,1
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,23,285,1
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,24,267,1
AUDI,S6,MID-SIZE,4.0,8,A7,Z,23,281,1
AUDI,S7,MID-SIZE,4.0,8,A7,Z,23,281,1
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,22,300,0
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,22,292,1
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,31,209,2
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,31,209,2
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,27,237,2
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,27,237,2
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,21,314,0
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18,356,0
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,20,332,0
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,17,380,0
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,17,380,0
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,17,388,0
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,15,437,0
BMW,320i,COMPACT,2.0,4,A8,Z,34,193,2
BMW,320i,COMPACT,2.0,4,M6,Z,32,200,2
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,32,202,2
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,42,181,2
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,42,181,2
BMW,328i,COMPACT,2.0,4,A8,Z,34,193,2
BMW,328i,COMPACT,2.0,4,M6,Z,32,200,2
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,31,209,2
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,31,209,2
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,31,209,2
BMW,335i,COMPACT,3.0,6,A8,Z,29,221,1
BMW,335i,COMPACT,3.0,6,M6,Z,28,230,1
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,29,228,1
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,27,237,1
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,28,232,1
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,34,193,2
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,32,200,2
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,31,209,2
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,29,221,1
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,28,230,1
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,29,228,1
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,27,237,1
BMW,528i,MID-SIZE,2.0,4,A8,Z,32,202,2
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,31,209,2
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,36,213,2
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,28,232,1
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,26,246,1
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,23,281,0
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,22,292,0
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,28,232,1
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,22,292,0
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,23,281,0
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,22,292,0
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,26,246,1
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,22,292,0
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,22,292,0
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18,356,0
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,34,191,2
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,30,214,1
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,31,212,1
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,22,292,0
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,22,292,0
BMW,M5,MID-SIZE,4.4,8,AM7,Z,19,338,0
BMW,M5,MID-SIZE,4.4,8,M6,Z,20,317,0
BMW,M6,COMPACT,4.4,8,AM7,Z,19,338,0
BMW,M6,COMPACT,4.4,8,M6,Z,20,317,0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,19,338,0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,20,317,0
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,19,338,0
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,20,317,0
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,31,209,2
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,25,260,1
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,28,230,2
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,26,253,1
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,25,255,1
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,20,320,0
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18,370,0
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,24,274,1
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,20,324,0
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,31,209,2
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,32,200,2
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,23,278,1
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,26,253,1
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,23,278,1
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,23,283,1
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,22,290,1
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,33,196,2
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,31,212,2
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,25,264,1
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18,250,1
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,25,264,1
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,17,264,1
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,34,189,2
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,29,228,2
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,29,225,2
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,26,246,2
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,34,189,2
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,29,228,2
BUICK,VERANO,COMPACT,2.0,4,M6,Z,29,225,2
BUICK,VERANO,COMPACT,2.4,4,AS6,X,30,218,2
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,29,221,2
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,28,235,2
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,31,207,2
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,26,251,1
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,28,232,2
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,25,260,1
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,25,258,1
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,25,262,1
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,28,232,2
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,26,248,1
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,26,248,2
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,25,260,1
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,22,294,1
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,26,253,1
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,25,260,1
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,25,255,1
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,25,262,1
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,17,382,0
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,19,340,0
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,17,382,0
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,19,340,0
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,17,382,0
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,19,340,0
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,19,338,0
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,14,322,0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,17,377,0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,13,354,0
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,23,283,1
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,22,294,1
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,25,262,1
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,24,271,1
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,22,290,1
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,25,258,1
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,24,269,1
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,27,242,1
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,22,294,0
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,22,292,0
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,17,382,0
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,19,340,0
